timestamp,ticket,symbol,direction,strategy,regime,result,pnl_r,profit_usd,entry_price,sl,tp,exit_reason,duration_minutes,ml_probability,score,lots,risk_usd,atr_at_entry
2026-05-03T00:07:22,276047276,ETHUSD,BUY,INSIDE_BAR,,LOSS,-0.2134,-2.15,,,,STAGNATION,60.0,,,,,
2026-05-03T02:27:59,276049759,BTCUSD,BUY,INSIDE_BAR,CHOP,WIN,0.2256,8.09,78445.01,78093.92,78796.1,BREAKEVEN,0.0,0.9619,45,0.1,35.11,54.625566
2026-05-03T02:58:19,276050982,ETHUSD,BUY,INSIDE_BAR,,WIN,0.0126,-0.2,,,,STAGNATION,60.1,,,,,
2026-05-03T04:00:29,276052810,ETHUSD,SELL,INSIDE_BAR,,LOSS,-0.0337,-0.12,,,,BREAKEVEN,40.8,,,,,
2026-05-03T04:35:26,276053127,BTCUSD,BUY,INSIDE_BAR,,LOSS,-0.2708,-7.58,,,,STAGNATION,60.1,,,,,
2026-05-03T07:01:13,276056613,ETHUSD,SELL,INSIDE_BAR,,LOSS,-0.2921,-1.44,,,,STAGNATION,60.0,,,,,
2026-05-03T07:36:47,276058970,BTCUSD,BUY,INSIDE_BAR,,WIN,0.8542,20.69,,,,TP,4.5,,,,,
2026-05-03T08:38:47,276059529,BTCUSD,BUY,INSIDE_BAR,,LOSS,-0.3408,-7.36,,,,STAGNATION,60.1,,,,,
2026-05-03T10:15:06,276061551,ETHUSD,BUY,SUPERTREND,,LOSS,-1.1056,-3.35,,,,SL,59.6,,,,,
2026-05-03T10:16:51,276062427,BTCUSD,SELL,INSIDE_BAR,,LOSS,-0.0154,-0.37,,,,BREAKEVEN,29.6,,,,,
2026-05-03T11:01:05,276062841,BTCUSD,BUY,SUPERTREND,,LOSS,-1.0663,-26.06,,,,SL,41.6,,,,,
